region_id,matched_legend_id,match_score,symbol_final,legend_text,legend_color_name,area_px
-65,64,,Unknown,花岗岩,darksalmon,-1
-64,63,,粗面结构符号,隐伏或物探推测断层,whitesmoke,-1
-63,62,,Qp²β,中更新统：玄武岩,lightgreen,-1
-62,61,,Unknown,中细粒二长花岗岩,lightgray,-1
-61,60,,Cn-q,南好组—青天峡组：砾岩、砂岩、板岩、结晶灰岩,silver,-1
-60,59,,Qh¹s,石山组:橄榄玄武岩、含火山角砾橄榄玄武岩,khaki,-1
-59,58,,J₁,火山盆地范围,snow,-1
-58,57,,Nsm-s,石马村组一石门沟村组：玻基橄辉岩、橄榄玄武岩、辉斑橄榄玄武岩、粗玄岩,wheat,-1
-57,56,,S₂,中粒斑状二长花岗岩,lightgray,-1
-56,55,,γ,"酸性岩脉: γ 花岗岩, γ' 花岗细晶岩",mistyrose,-1
-55,54,,J₃γδ,花岗闪长岩,lightgray,-1
-54,53,,J₃γδ,花岗闪长岩,tomato,-1
-53,52,,K₂γπ,花岗斑岩,tomato,-1
-52,51,,⊙,火山口,whitesmoke,-1
-51,50,,植物化石符号,花岗斑岩,whitesmoke,-1
-50,49,,Qp³ˢˡ,"二叠纪
三叠纪",palegoldenrod,-1
-49,48,,破火山口边缘,熔岩火山锥,gainsboro,-1
-48,47,,倾伏背斜轴迹，倾伏角55°,实测正断层倾向及倾角,gainsboro,-1
-47,46,,砾岩,玄武质凝灰岩,gainsboro,-1
-46,45,,Γ_二,玄武岩,whitesmoke,-1
-45,44,,C₁,中性岩脉：δ 闪长岩,lightcyan,-1
-44,43,,Qp³d,道堂组：玄武岩、沉凝灰岩,khaki,-1
-43,42,,J₂γ,花岗岩,indianred,-1
-42,41,,火山岩符号,花岗岩,gainsboro,-1
-41,40,,⊥⊥_,橄榄玄武岩,whitesmoke,-1
-40,39,,地层产状70,实测逆断层倾向及倾角,lavender,-1
-39,38,,▲,硅化,linen,-1
-38,37,,⊢,绿泥石化,whitesmoke,-1
-37,36,,Tectonite,火山洼地范围,whitesmoke,-1
-36,35,,P-Tγ,花岗岩,violet,-1
-35,34,,Unknown,不明地质体,lavender,-1
-34,33,,侵入体,碎屑火山锥,whitesmoke,-1
-33,32,,勾号图案,辉长岩,beige,-1
-32,31,,穿刺构造,混合火山锥,gainsboro,-1
-31,30,,Qp³bs,粉细砂、含细砾中粗砂,gold,-1
